Table 1
2019 Pontevedra ITU Duathlon World Championships,,,,,,,,,,,,,
Sprint age groups - Unofficial results by category,,,,,,,,,,,,,
,,,,,,,,,,,,,
16-19 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
16,1062,Thomas Marriage,,,,GBR,,17:29,0:49,31:52,1:26,10:03,1:01:36
17,1059,David Hepburn,,,,GBR,,17:26,0:55,32:53,1:31,9:49,1:02:33
18,1066,Leigh Schvartz,,,,GBR,,18:10,0:56,32:08,1:34,9:58,1:02:44
19,1068,Francisco Miguel Menchaca ,,,,MEX,,17:21,0:59,33:00,1:32,10:03,1:02:54
20,1064,Simon Poole,,,,GBR,,19:06,1:03,32:47,1:31,10:32,1:04:57
21,1067,Kota Otsuki,,,,JPN,,18:31,0:53,34:48,1:47,10:48,1:06:45
22,1077,Mitchell Stewart,,,,CAN,,19:27,1:03,34:42,1:43,10:47,1:07:41
23,1057,Lee Bradley,,,,GBR,,19:54,1:02,35:10,1:25,10:41,1:08:11
24,1078,Camilo Gaitán,,,,COL,,18:41,1:00,36:11,1:25,10:58,1:08:13
25,1061,Luke Lambert,,,,GBR,,19:39,0:52,35:22,1:29,11:08,1:08:28
26,1075,Amon Ravazzano José De Castro,,,,BRA,,18:36,1:04,39:56,2:00,10:48,1:12:21
,,,,,,,,,,,,,
30-34 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1550,Emily Purbrick,,,,GBR,,20:35,0:45,36:06,1:26,11:10,1:10:00
2,1553,Astrid Isabel Lopez Marin ,,,,MEX,,19:53,1:05,36:34,1:33,11:15,1:10:18
3,1551,Rebecca York,,,,GBR,,20:41,0:54,35:59,1:28,11:20,1:10:19
4,1568,Inês Moreira,,,,POR,,19:53,0:54,36:40,2:08,11:12,1:10:44
5,1555,Jana Mozolaniova,,,,SVK,,19:56,1:12,37:47,1:35,10:44,1:11:13
6,1561,Ana Carolina Araujo,,,,BRA,,20:36,1:02,37:14,1:28,11:00,1:11:18
7,1563,Elizabeth Berton,,,,BRA,,20:37,0:53,37:18,1:37,11:25,1:11:49
8,1547,Lucy Burn,,,,GBR,,21:13,1:00,38:06,1:27,11:48,1:13:32
9,1548,Laura Campbell-Adams,,,,GBR,,21:32,1:09,37:46,1:39,11:38,1:13:42
10,1567,Courtenay Smart,,,,CAN,,20:49,1:08,41:00,1:40,11:30,1:16:05
11,1552,Zendy Faith Fuentes Corona,,,,MEX,,21:13,0:59,40:50,1:37,11:36,1:16:12
12,1546,Charlotte Bermingham,,,,GBR,,21:02,1:20,40:34,1:54,11:30,1:16:18
13,1559,Vonetta Trotter,,,,USA,,22:09,1:17,39:16,1:42,12:07,1:16:30
14,1566,Mélissa-Chessie Savoie,,,,CAN,,22:39,1:17,38:57,1:42,12:34,1:17:07
15,1562,Viviane Barbosa Da Silva,,,,BRA,,22:35,1:11,39:08,1:32,12:48,1:17:11
16,1558,Jennifer Richter,,,,USA,,22:11,1:08,40:46,1:56,12:03,1:18:02
17,1549,Lilli Peters,,,,GBR,,22:31,1:21,40:37,2:01,12:02,1:18:30
18,1556,Nicole Levick,,,,USA,,22:09,1:11,41:45,1:41,12:03,1:18:48
19,1560,Larissa Oates,,,,AUS,,23:33,1:08,40:34,1:51,13:08,1:20:12
20,1545,Francisca Tena Bueno,,,,ESP,,23:36,1:08,42:25,1:54,12:51,1:21:52
21,1554,Sarah Ward,,,,NZL,,25:34,1:01,41:52,1:44,13:54,1:24:04
22,1565,Catherine Delorme,,,,CAN,,25:47,1:31,43:43,2:34,14:12,1:27:45
23,1564,Sara Dutra,,,,BRA,,26:25,1:41,44:26,2:16,15:22,1:30:09
24,1557,Elissa Martin,,,,USA,,28:16,2:02,56:54,3:01,16:09,1:46:21
,,,,,,,,,,,,,
30-34 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1088,Adrien Latestere,,,,FRA,,16:11,0:40,32:11,1:10,8:21,58:31
2,1084,Carlos Javega Saura,,,,ESP,,16:36,0:41,31:48,1:09,8:27,58:39
3,1085,Brais Misa Garcia,,,,ESP,,16:29,0:40,31:52,1:09,8:32,58:41
4,1104,Franco Forestier,,,,URU,,16:12,0:50,32:07,1:17,8:35,58:59
5,1107,Will Kirkikis,,,,USA,,16:37,0:45,31:48,1:15,8:51,59:14
6,1112,Josias Nepomuceno Ribeiro,,,,BRA,,16:35,0:42,31:52,1:30,8:43,59:20
7,1082,Alberto Fernandez Encina,,,,ESP,,16:41,0:42,31:41,1:19,8:59,59:20
8,1102,Marek Barczewski,,,,POL,,17:34,0:42,30:55,1:29,9:09,59:47
9,1098,Hector  Cisneros Vazquez ,,,,MEX,,17:05,0:44,31:23,1:22,9:16,59:49
10,1096,Philipp-Johannes Müller,,,,GER,,17:02,0:43,31:17,1:13,9:44,59:58
11,1083,Víctor González Ruiz,,,,ESP,,17:39,0:57,30:30,1:21,9:38,1:00:02
12,1093,Mark Mills,,,,GBR,,17:21,0:52,30:51,1:28,9:38,1:00:09
13,1094,Thomas Seller,,,,GBR,,17:38,0:49,30:40,1:26,10:01,1:00:33
14,1092,Thomas Greeves,,,,GBR,,17:04,0:59,31:53,1:27,9:46,1:01:07
15,1095,Lee Thompson ,,,,GBR,,16:52,0:42,32:39,1:21,9:53,1:01:26
16,1090,Jay Brittles,,,,GBR,,17:22,1:02,32:42,1:46,9:31,1:02:21
17,1101,Gustavo Adolfo  Valencia Lopez ,,,,MEX,,17:39,0:52,32:37,1:24,9:52,1:02:21
18,1115,Dorian Baysset,,,,CAN,,17:25,1:00,32:50,1:37,9:45,1:02:35
19,1099,Gustavo Lira Guevara ,,,,MEX,,17:20,0:59,34:39,1:30,9:16,1:03:42
20,1103,Fábio Durão,,,,POR,,17:06,0:56,34:52,1:34,9:30,1:03:57
21,1086,Jose Peñalver Sánchez,,,,ESP,,17:50,0:48,34:20,1:29,9:49,1:04:13
22,1113,Andreson Pinheiro,,,,BRA,,17:16,1:03,34:01,1:33,10:31,1:04:22
23,1091,Steve Denniss,,,,GBR,,18:08,0:46,33:44,1:30,10:28,1:04:34
24,1116,Spencer Summerfield,,,,CAN,,17:55,0:52,34:03,1:41,10:11,1:04:39
25,1109,Renato Angelo,,,,BRA,,18:49,1:01,33:08,1:32,10:32,1:05:00
26,1114,Thiago Henrique Pinheiro De Souza,,,,BRA,,18:10,0:52,35:15,1:41,9:59,1:05:56
27,1111,Willian Mariano,,,,BRA,,19:02,0:54,35:48,1:42,10:20,1:07:44
28,1105,Malek Amrani,,,,USA,,18:03,1:14,36:32,1:40,10:17,1:07:44
29,1087,Ivan Vazquez Garcia,,,,ESP,,19:04,0:56,35:50,1:51,10:09,1:07:47
30,1097,Seamus  Mcgarrell ,,,,IRL,,19:58,0:48,35:11,1:26,10:46,1:08:08
31,1117,Nuno Ferreira,,,,POR,,20:26,1:03,34:18,1:40,11:52,1:09:18
32,1108,Graham Maxwell,,,,USA,,19:22,1:25,35:03,1:35,12:07,1:09:30
,,,,,,,,,,,,,
35-39 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1591,Margo Mackintosh,,,,AUS,,18:21,1:01,36:03,1:23,10:06,1:06:52
2,1582,Georgina Almaraz Perez ,,,,MEX,,19:23,0:49,37:12,1:25,10:37,1:09:24
3,1576,Laura Pescott,,,,GBR,,20:06,0:54,36:31,1:30,11:08,1:10:07
4,1575,Erica Martin,,,,GBR,,20:07,1:05,37:46,1:39,10:32,1:11:07
5,1584,Adriana Romo Bernal ,,,,MEX,,20:40,1:05,37:08,1:34,11:00,1:11:24
6,1571,Sonia Gomez Heredia,,,,ESP,,20:18,0:53,37:43,1:32,11:10,1:11:35
7,1592,Alana Bonner,,,,CAN,,20:41,1:18,38:22,1:50,11:28,1:13:37
8,1574,Ruth Jones,,,,GBR,,20:30,1:07,40:03,1:23,10:56,1:13:57
9,1573,Lisa Gawthorne,,,,GBR,,19:53,1:13,40:28,1:38,11:09,1:14:20
10,1590,Melissa Spaid-Decker,,,,USA,,21:40,1:29,39:48,1:51,11:44,1:16:30
11,1578,Samantha Sugden,,,,GBR,,22:52,0:56,38:56,1:42,12:19,1:16:43
12,1585,Wootyee Wynn,,,,NZL,,22:32,1:17,39:44,1:55,13:02,1:18:28
13,1579,Lucy Tugwell,,,,GBR,,22:43,1:24,42:02,1:47,12:44,1:20:38
14,1580,Kaori Ogura,,,,JPN,,22:51,1:10,43:00,1:51,12:55,1:21:45
15,1583,Beatriz  De La Vega Galicia ,,,,MEX,,23:14,1:33,43:45,2:02,12:58,1:23:31
16,1572,Maria Luisa Rua Prieto,,,,ESP,,25:28,1:03,44:01,1:44,14:02,1:26:15
17,1587,Victoria Anderson,,,,USA,,26:09,1:11,45:17,2:05,13:22,1:28:02
18,1581,Alice Ndanu Kivuva,,,,KEN,,26:31,1:11,53:27,1:56,16:16,1:39:19
19,1588,Ofelia Basante,,,,USA,,27:15,1:24,54:50,2:35,15:30,1:41:32
20,1589,Katy Daugherty,,,,USA,,34:35,2:02,59:20,3:32,20:06,1:59:32
,,,,,,,,,,,,,
35-39 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1128,Santiago Javier Muros Ramírez,,,,ESP,,16:29,0:36,31:57,1:05,8:41,58:47
2,1129,Frédéric Bourgeais,,,,FRA,,16:31,0:48,31:47,1:18,8:38,59:02
3,1127,Miguel Angel Muñoz Moreno,,,,ESP,,16:31,0:40,31:51,1:05,9:00,59:05
4,1122,Juan Bernal Sanchez,,,,ESP,,16:37,0:41,31:48,1:17,8:58,59:19
5,1131,Aidan Adams,,,,GBR,,17:08,0:45,31:24,1:22,9:07,59:44
6,1151,Luís Gonçalves,,,,POR,,16:53,0:46,31:32,1:24,9:30,1:00:03
7,1120,Roberto Anta Alvarez,,,,ESP,,17:53,0:43,30:24,1:22,10:02,1:00:23
8,1145,Dan Tate,,,,GBR,,16:56,0:44,32:15,1:24,9:18,1:00:35
9,1139,Steven Kendall,,,,GBR,,16:52,0:43,31:30,1:21,10:10,1:00:35
10,1121,Alberto Bermejo Polo,,,,ESP,,17:55,0:48,31:08,1:25,9:40,1:00:54
11,1146,Jonathan Tyler,,,,GBR,,17:39,0:49,32:01,1:17,9:51,1:01:35
12,1144,Jonathon Seymour,,,,GBR,,17:46,0:48,31:36,1:40,9:59,1:01:48
13,1123,Juan Antonio Elices Mateos,,,,ESP,,17:32,0:46,32:10,1:21,10:15,1:02:01
14,1137,Adam Hinds,,,,GBR,,17:30,0:51,32:50,1:27,9:29,1:02:06
15,1155,Mark Vishnevsky,,,,USA,,17:54,0:47,32:27,1:23,9:40,1:02:09
16,1140,Tobias Kirk,,,,GBR,,17:39,0:54,32:33,1:31,9:35,1:02:09
17,1135,Simon Hall,,,,GBR,,17:32,0:52,32:45,1:37,9:55,1:02:39
18,1142,Robert Osborn,,,,GBR,,18:45,0:43,31:37,1:37,10:51,1:03:31
19,1141,Jonathan Northcott,,,,GBR,,18:11,0:53,33:28,1:23,9:50,1:03:43
20,1147,Greg Wood,,,,GBR,,17:55,0:45,34:23,1:27,9:35,1:04:03
21,1159,Wellington Oliveira  Santos Silva,,,,BRA,,18:09,0:50,33:56,1:24,9:52,1:04:08
22,1148,Trevor Corcoran,,,,IRL,,18:19,0:46,33:55,1:24,10:15,1:04:38
23,1134,Mark Gould,,,,GBR,,19:03,0:59,32:58,1:31,10:10,1:04:39
24,1124,Diego Freire Calvo,,,,ESP,,19:09,0:51,32:58,1:30,10:40,1:05:06
25,1138,Graham Hunt,,,,GBR,,19:03,0:52,34:17,1:29,10:05,1:05:43
26,1162,Adrián David  Yépez Quintana,,,,ECU,,18:23,0:56,35:00,1:30,10:22,1:06:10
27,1150,Ramon Mejia Cruz,,,,MEX,,18:05,1:06,35:08,1:30,10:27,1:06:15
28,1143,Alan Ruddock,,,,GBR,,19:20,0:57,33:56,1:46,10:55,1:06:53
29,1132,Wesley Barnett,,,,GBR,,18:58,0:56,35:38,1:29,10:06,1:07:05
30,1154,Derek Tingle,,,,USA,,20:16,0:53,33:04,1:34,11:34,1:07:20
31,1153,Cory Erickson,,,,USA,,17:51,1:05,36:35,1:59,10:03,1:07:30
32,1164,Jorge Ferreira,,,,POR,,18:54,1:16,35:24,1:44,10:38,1:07:54
33,1163,Roger Vicente,,,,POR,,16:53,0:43,41:24,1:32,9:28,1:09:57
34,1149,Takahiro Mishina,,,,JPN,,20:53,1:32,35:21,2:01,11:43,1:11:28
35,1136,Michael Hemsworth,,,,GBR,,20:27,0:55,38:37,1:36,10:47,1:12:20
36,1125,Alejandro Lopez Vega,,,,ESP,,20:53,1:09,37:21,1:51,11:23,1:12:36
37,1133,Darren Bird,,,,GBR,,18:02,1:02,42:04,1:41,9:52,1:12:39
38,1161,Gerald Gallant,,,,CAN,,20:38,1:05,37:07,1:52,12:20,1:13:02
39,1157,Artur Queiroz,,,,BRA,,21:31,1:02,38:21,1:46,12:22,1:15:00
40,1158,Marcio Ribeiro,,,,BRA,,22:02,1:12,39:50,2:12,12:03,1:17:16
41,1156,Welberth Ferreira ,,,,BRA,,20:46,1:18,43:05,1:49,11:06,1:18:02
42,1160,Danilo Silva,,,,BRA,,22:42,1:03,39:49,1:54,12:45,1:18:12
,,,,,,,,,,,,,
40-44 Female AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1608,Melisa Christian,,,,USA,,19:10,1:04,37:10,1:27,10:11,1:09:00
2,1604,Angelica Sanchez Ibarra ,,,,MEX,,18:37,0:55,38:04,1:30,10:11,1:09:15
3,1597,Marie Brush,,,,GBR,,19:50,0:55,36:47,1:22,10:27,1:09:19
4,1598,Georgina Dunlop,,,,GBR,,20:28,0:52,36:10,1:29,11:15,1:10:11
5,1606,Rika Rossouw,,,,RSA,,19:28,1:11,38:14,1:44,10:32,1:11:06
6,1596,Sonia Ruiz Nieto,,,,ESP,,20:35,0:59,37:17,1:18,10:59,1:11:06
7,1612,Detlei Hasse,,,,BRA,,20:19,0:52,37:38,1:29,11:04,1:11:20
8,1595,Rosa Fontes Gutiérrez,,,,ESP,,20:37,0:55,37:50,1:28,10:58,1:11:46
9,1599,Martha Hall,,,,GBR,,19:49,1:03,39:45,1:48,10:53,1:13:15
10,1603,Rosa Maria  Dominguez Garcia,,,,MEX,,20:46,1:18,38:18,1:38,11:35,1:13:33
11,1605,Dina Santos,,,,POR,,21:12,1:07,38:25,1:33,11:35,1:13:50
12,1610,Jessica Soroka,,,,USA,,20:53,1:18,39:39,1:51,11:20,1:14:59
13,1609,Erin Harris,,,,USA,,22:42,1:23,36:13,1:58,13:08,1:15:22
14,1600,Ruth Hetherington,,,,GBR,,21:42,1:30,41:46,1:57,11:15,1:18:09
15,1611,Belinda Cerone,,,,AUS,,22:38,1:34,38:45,2:40,12:41,1:18:15
16,1601,Zoe Smith,,,,GBR,,24:46,1:20,40:28,1:59,13:23,1:21:55
17,1607,Nicole Blessing,,,,USA,,26:57,1:30,40:03,2:20,15:22,1:26:10
18,1613,Leanne Coulter,,,,CAN,,26:08,1:22,48:20,2:03,14:15,1:32:07
19,1602,Iris Simpao Marji,,,,KEN,,26:24,1:39,50:21,2:34,15:34,1:36:29
,,,,,,,,,,,,,
40-44 Male AG,,,,,,,,,,,,,
Cat.R.,Bib,Name,Szül.év,Club,License,Country,Város,1st Run,1st Transition,Bike,2nd Transition,2nd Run,Finish Time
1,1171,Angel Gutierrez Calzado,,,,ESP,,16:31,0:40,31:48,1:08,8:50,58:56
2,1170,Rafael Curado Tejero,,,,ESP,,16:37,0:36,31:46,1:03,8:57,58:58
3,1183,Matthew Davenport,,,,GBR,,16:32,0:53,31:41,1:13,8:42,58:59
4,1179,Miguel Angel Vidal Barreiro,,,,ESP,,16:32,0:39,31:51,1:06,9:00,59:05
5,1209,Talles Medeiros,,,,BRA,,16:38,0:41,31:44,1:16,8:51,59:08
6,1197,Sérgio Santos,,,,POR,,16:30,0:45,31:55,1:18,8:51,59:18
7,1194,Ernesto Vladimir  Becerril Bustamante  ,,,,MEX,,16:38,0:46,31:48,1:17,8:53,59:22
8,1210,Luciano Nunes De Lima,,,,BRA,,16:36,0:45,31:41,1:18,9:11,59:30
9,1206,Ben Fahy,,,,AUS,,16:53,0:46,31:27,1:21,9:16,59:41
10,1185,Owen James,,,,GBR,,16:57,0:51,31:26,1:23,9:08,59:43
11,1174,David Malagon Lopez,,,,ESP,,17:52,0:55,30:12,1:22,9:56,1:00:16
12,1191,Bret Wilks,,,,GBR,,17:17,0:49,31:48,1:23,9:28,1:00:43
13,1188,Richard Singleton,,,,GBR,,17:38,0:43,31:34,1:19,9:38,1:00:51
14,1189,Mark Taylor,,,,GBR,,17:33,0:48,31:32,1:22,9:47,1:01:01
15,1175,Abel Reyes Cordero,,,,ESP,,17:36,0:44,32:40,1:16,9:42,1:01:56
16,1177,José Rodríguez Monedero,,,,ESP,,17:57,0:47,32:14,1:20,9:53,1:02:10
17,1167,Juan Carlos Alcaraz Perez,,,,ESP,,17:52,0:52,32:26,1:24,9:39,1:02:10
18,1169,Carlos Coira Lojo,,,,ESP,,17:51,0:49,32:33,1:20,9:57,1:02:29
19,1199,Jean Paul Guillen,,,,SUI,,17:48,0:46,32:36,1:27,10:03,1:02:38
20,1187,Peter Kerry,,,,GBR,,18:09,1:00,32:04,1:30,10:03,1:02:44
